,A,B,C,D1,D2,D3,D4,D5,E1,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F34,F35,G,H
38,1.7,2.31,E,249,1411,,7.9,10.44,A,0.5,0.52,2.66,20,6,8,42,1.84,0.64,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
39,2.2,2.46,E,249,1411,,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,42,1.83,0.64,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
40,2.2,3.17,E,249,1411,,1.4,10.66,A,0.5,0.53,2.78,20,6,8,42,1.81,0.63,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
41,3.9,3.27,E,249,1411,,7,10.75,A,0.5,0.54,2.81,20,6,8,42,1.8,0.63,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
42,3.1,3.4,E,249,1411,,4.7,10.87,A,0.5,0.54,2.85,20,6,8,42,1.79,0.62,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
43,3.3,3.42,E,249,1411,,13.7,10.99,A,0.5,0.55,2.89,20,6,8,42,1.77,0.62,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
44,2,3.18,E,249,1411,,6.8,11.15,A,0.5,0.55,2.93,20,6,8,42,1.75,0.61,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
45,3.7,3.28,E,249,1411,,11.8,11.31,A,0.5,0.55,2.97,20,6,8,42,1.72,0.6,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
46,1.3,3.03,E,249,1411,,9.5,11.49,A,0.5,0.56,3.01,20,6,8,42,1.7,0.59,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
47,2.9,3.02,E,249,1411,,9.5,11.64,A,0.5,0.56,3.05,20,6,8,42,1.67,0.58,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
48,4,3.04,E,249,1411,,6.9,11.83,A,0.5,0.57,3.09,20,6,8,42,1.65,0.58,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
49,2.5,3.19,E,249,1411,,5,11.99,A,0.5,0.57,3.04,20,6,8,42,1.62,0.57,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
50,1.6,2.77,E,249,1411,,9.7,12.15,A,0.5,0.58,3,20,6,8,42,1.6,0.56,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
51,1.6,2.63,E,249,1411,,5.2,12.33,A,0.5,0.58,2.95,20,6,8,42,1.58,0.55,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
52,0.7,2.57,E,249,1411,,8,12.5,A,0.5,0.59,2.91,20,6,8,42,1.56,0.54,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
53,2.7,2.36,E,249,1411,,11,12.67,A,0.5,0.59,2.86,20,6,8,42,1.54,0.54,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
54,1.8,2.21,E,249,1411,,11.5,12.85,A,0.5,0.6,2.77,20,6,8,42,1.52,0.53,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
55,1,2.21,E,249,1411,,9.8,13.1,A,0.5,0.79,2.68,20,6,8,42,1.51,0.53,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
56,1.3,2.08,E,249,1411,,14,13.2,A,0.5,0.89,2.64,20,6,8,42,1.49,0.52,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
57,1.8,2.13,E,249,1411,,11.5,13.35,A,0.5,0.98,2.59,20,6,8,42,1.48,0.51,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
58,0.7,2.17,E,249,1411,,16.8,13.52,A,0.5,1.08,2.54,20,6,8,42,1.47,0.51,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
59,0.8,2.11,E,249,1411,,11.9,13.72,A,0.5,1.27,2.45,20,6,8,42,1.45,0.51,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
60,0.7,2.14,E,249,1411,,10.1,13.96,A,0.5,1.36,2.41,20,6,8,42,1.44,0.5,5.82,10993,8.36,53,97.4,0,0.96,0,29,1,B
61,1.2,1.97,E,249,1411,,16.5,14.2,A,0.5,1.46,2.36,20,6,8,42,1.42,0.5,5.89,10993,8.36,53,97.4,0,0.96,0,29,1,B
62,1.4,1.71,E,249,1411,,10.8,14.44,A,0.5,1.55,2.32,20,6,8,42,1.41,0.49,5.99,10993,8.36,53,97.4,0,0.96,0,29,1,B
63,0.2,1.56,E,249,1411,,11.2,14.92,A,0.5,1.74,2.23,20,6,8,42,1.4,0.49,6.15,10993,8.36,53,97.4,0,0.96,0,29,1,B
64,1.1,1.58,E,249,1411,,15.5,15.13,A,0.5,1.84,2.18,20,6,8,42,1.38,0.48,6.65,10993,8.36,53,97.4,0,0.96,0,29,1,B
65,1,1.51,E,249,1411,,14.7,15.38,A,0.5,1.93,2.14,20,6,8,42,1.35,0.47,7.45,10993,8.36,53,97.4,0,0.96,0,29,1,B
66,0,1.73,E,249,1411,,25.6,15.73,A,0.5,2.03,2.09,20,6,8,42,1.33,0.46,8.3,10993,8.36,53,97.4,0,0.96,0,29,1,B
67,2.2,2.08,A,263,1425,,11.5,10.14,A,0.5,0.5,2.5,20,6,8,56,1.89,1.04,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
68,1.5,2.07,A,263,1425,,2.7,10.19,A,0.5,0.5,2.54,20,6,8,56,1.88,1.03,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
69,1.5,2.3,B,263,1425,,12.1,10.26,A,0.5,0.51,2.58,20,6,8,56,1.87,1.02,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
70,2.5,2.92,B,263,1425,,9.7,10.34,A,0.5,0.51,2.62,20,6,8,56,1.86,1.02,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
71,4.5,3.2,E,263,1425,,7.9,10.44,A,0.5,0.52,2.66,20,6,8,56,1.84,1.01,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
72,1.3,3.32,E,263,1425,,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,56,1.83,1,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
73,2.3,4.11,E,263,1425,,1.4,10.66,A,0.5,0.53,2.78,20,6,8,56,1.81,0.99,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
74,2.4,4.27,E,263,1425,,7,10.75,A,0.5,0.54,2.81,20,6,8,56,1.8,0.99,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
75,3.1,4.6,E,263,1425,,4.7,10.87,A,0.5,0.54,2.85,20,6,8,56,1.79,0.98,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
76,2.7,4.67,E,263,1425,,13.7,10.99,A,0.5,0.55,2.89,20,6,8,56,1.77,0.97,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
77,2.8,4.48,E,263,1425,,6.8,11.15,A,0.5,0.55,2.93,20,6,8,56,1.75,0.96,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
78,2.6,4.56,E,263,1425,,11.8,11.31,A,0.5,0.55,2.97,20,6,8,56,1.72,0.94,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
79,3.5,4.25,E,263,1425,,9.5,11.49,A,0.5,0.56,3.01,20,6,8,56,1.7,0.93,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
80,1.3,4.35,E,263,1425,,9.5,11.64,A,0.5,0.56,3.05,20,6,8,56,1.67,0.91,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
81,1.9,4.27,E,263,1425,,6.9,11.83,A,0.5,0.57,3.09,20,6,8,56,1.65,0.9,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
82,3.9,4.46,E,263,1425,,5,11.99,A,0.5,0.57,3.04,20,6,8,56,1.62,0.89,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
83,2.7,4.16,E,263,1425,,9.7,12.15,A,0.5,0.58,3,20,6,8,56,1.6,0.88,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
84,1.9,4.04,E,263,1425,,5.2,12.33,A,0.5,0.58,2.95,20,6,8,56,1.58,0.86,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
85,2.4,4.01,E,263,1425,,8,12.5,A,0.5,0.59,2.91,20,6,8,56,1.56,0.85,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
86,0.7,3.7,E,263,1425,,11,12.67,A,0.5,0.59,2.86,20,6,8,56,1.54,0.84,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
87,2.9,3.48,E,263,1425,,11.5,12.85,A,0.5,0.6,2.77,20,6,8,56,1.52,0.83,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
88,1.7,3.58,E,263,1425,,9.8,13.1,A,0.5,0.79,2.68,20,6,8,56,1.51,0.82,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
89,1.5,3.34,E,263,1425,,14,13.2,A,0.5,0.89,2.64,20,6,8,56,1.49,0.82,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
90,1.2,3.46,E,263,1425,,11.5,13.35,A,0.5,0.98,2.59,20,6,8,56,1.48,0.81,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
91,2.3,3.46,E,263,1425,,16.8,13.52,A,0.5,1.08,2.54,20,6,8,56,1.47,0.8,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
92,0.7,3.27,E,263,1425,,11.9,13.72,A,0.5,1.27,2.45,20,6,8,56,1.45,0.8,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
93,-0.1,3.41,E,263,1425,,10.1,13.96,A,0.5,1.36,2.41,20,6,8,56,1.44,0.79,3.71,10993,17.6,67,31,0,0.95,0,43,1,C
94,1.1,2.92,E,263,1425,,16.5,14.2,A,0.5,1.46,2.36,20,6,8,56,1.42,0.78,3.76,10993,17.6,67,31,0,0.95,0,43,1,C
95,1.5,2.93,E,263,1425,,10.8,14.44,A,0.5,1.55,2.32,20,6,8,56,1.41,0.77,3.83,10993,17.6,67,31,0,0.95,0,43,1,C
96,1.2,2.53,E,263,1425,,11.2,14.92,A,0.5,1.74,2.23,20,6,8,56,1.4,0.77,3.92,10993,17.6,67,31,0,0.95,0,43,1,C
97,0.7,2.52,E,263,1425,,15.5,15.13,A,0.5,1.84,2.18,20,6,8,56,1.38,0.75,4.25,10993,17.6,67,31,0,0.95,0,43,1,C
98,0.7,2.43,E,263,1425,,14.7,15.38,A,0.5,1.93,2.14,20,6,8,56,1.35,0.74,4.76,10993,17.6,67,31,0,0.95,0,43,1,C
99,0.7,2.7,E,263,1425,,25.6,15.73,A,0.5,2.03,2.09,20,6,8,56,1.33,0.73,5.29,10993,17.6,67,31,0,0.95,0,43,1,C
100,2.5,1.83,A,291,1453,,11.5,10.14,A,0.5,0.5,2.5,20,6,8,84,1.89,1.38,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
101,1.5,1.85,A,291,1453,,2.7,10.19,A,0.5,0.5,2.54,20,6,8,84,1.88,1.37,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
102,1.5,2.07,B,291,1453,,12.1,10.26,A,0.5,0.51,2.58,20,6,8,84,1.87,1.36,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
103,2.5,2.78,B,291,1453,,9.7,10.34,A,0.5,0.51,2.62,20,6,8,84,1.86,1.35,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
104,5.1,3.22,E,291,1453,,7.9,10.44,A,0.5,0.52,2.66,20,6,8,84,1.84,1.34,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
105,1.9,3.36,E,291,1453,,-1.1,10.5,A,0.5,0.52,2.7,20,6,8,84,1.83,1.33,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
106,2.7,4.21,E,291,1453,,1.4,10.66,A,0.5,0.53,2.78,20,6,8,84,1.81,1.32,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
107,2.7,4.37,E,291,1453,,7,10.75,A,0.5,0.54,2.81,20,6,8,84,1.8,1.31,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
108,3.8,4.69,E,291,1453,,4.7,10.87,A,0.5,0.54,2.85,20,6,8,84,1.79,1.3,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
109,4.2,4.87,E,291,1453,,13.7,10.99,A,0.5,0.55,2.89,20,6,8,84,1.77,1.29,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
110,3,4.65,E,291,1453,,6.8,11.15,A,0.5,0.55,2.93,20,6,8,84,1.75,1.27,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
111,2.2,4.67,E,291,1453,,11.8,11.31,A,0.5,0.55,2.97,20,6,8,84,1.72,1.26,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
112,4,4.41,E,291,1453,,9.5,11.49,A,0.5,0.56,3.01,20,6,8,84,1.7,1.24,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
113,2.2,4.36,E,291,1453,,9.5,11.64,A,0.5,0.56,3.05,20,6,8,84,1.67,1.22,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
114,3.4,4.24,E,291,1453,,6.9,11.83,A,0.5,0.57,3.09,20,6,8,84,1.65,1.2,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
115,5,4.53,E,291,1453,,5,11.99,A,0.5,0.57,3.04,20,6,8,84,1.62,1.18,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
116,2.5,4.13,E,291,1453,,9.7,12.15,A,0.5,0.58,3,20,6,8,84,1.6,1.17,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
117,2,4.01,E,291,1453,,5.2,12.33,A,0.5,0.58,2.95,20,6,8,84,1.58,1.15,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
118,2.8,3.88,E,291,1453,,8,12.5,A,0.5,0.59,2.91,20,6,8,84,1.56,1.14,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
119,1.6,3.61,E,291,1453,,11,12.67,A,0.5,0.59,2.86,20,6,8,84,1.54,1.12,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
120,2.3,3.42,E,291,1453,,11.5,12.85,A,0.5,0.6,2.77,20,6,8,84,1.52,1.1,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
