,A,B,C,D1,D2,D3,D4,D5,E1,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F34,F35,G,H
594,4.6,2.76,E,228,2567,,32.1,11.67,G,0.57,0.58,0.94,0,0,0,0,2,2,1.19,1718,16.9,92,,,,,,3,G
595,4.5,2.67,E,228,2567,,28.3,11.58,G,0.57,0.57,0.94,0,0,0,0,2.01,2.01,1.19,1718,16.9,92,,,,,,3,G
596,4.6,2.67,E,228,2567,,28.6,11.48,G,0.58,0.57,0.94,0,0,0,0,2.03,2.03,1.19,1718,16.9,92,,,,,,3,G
597,4.6,2.85,E,228,2567,,28.4,11.39,G,0.58,0.56,0.94,0,0,0,0,2.05,2.05,1.19,1718,16.9,92,,,,,,3,G
598,3.1,2.77,E,228,2567,,31.7,11.31,G,0.58,0.56,0.94,0,0,0,0,2.06,2.06,1.19,1718,16.9,92,,,,,,3,G
599,4.5,2.42,E,228,2567,,34.8,11.23,G,0.58,0.55,0.94,0,0,0,0,2.08,2.08,1.19,1718,16.9,92,,,,,,3,G
600,2.6,2.67,E,228,2567,,31.8,11.13,G,0.58,0.55,0.94,0,0,0,0,2.09,2.09,1.19,1718,16.9,92,,,,,,3,G
601,1.6,2.44,E,228,2567,,36.6,11.04,G,0.59,0.54,0.94,0,0,0,0,2.11,2.11,1.19,1718,16.9,92,,,,,,3,G
602,2.1,2.67,E,228,2567,,35.3,10.95,G,0.59,0.53,0.94,0,0,0,0,2.13,2.13,1.19,1718,16.9,92,,,,,,3,G
603,3.2,2.43,E,228,2567,,33.5,10.86,G,0.59,0.53,0.94,0,0,0,0,2.15,2.15,1.21,1718,16.9,92,,,,,,3,G
604,0.4,3.22,E,228,2567,,36.9,10.76,G,0.59,0.52,0.94,0,0,0,0,2.16,2.16,1.31,1718,16.9,92,,,,,,3,G
605,2.2,3.08,E,228,2567,,35.7,10.57,G,0.6,0.52,0.94,0,0,0,0,2.2,2.2,1.64,1718,16.9,92,,,,,,3,G
606,1.9,2.78,E,228,2567,,39.1,10.36,G,0.6,0.52,0.94,0,0,0,0,2.25,2.25,2.04,1718,16.9,92,,,,,,3,G
607,2.3,2.56,E,228,2567,,32.3,10.11,G,0.6,0.51,0.94,0,0,0,0,2.3,2.3,2.52,1718,16.9,92,,,,,,3,G
608,0.7,2.26,E,228,2567,,37.5,9.83,G,0.6,0.51,0.94,0,0,0,0,2.37,2.37,3.03,1718,16.9,92,,,,,,3,G
609,2.5,2.41,E,228,2567,,37.3,9.52,G,0.6,0.51,0.94,0,0,0,0,2.45,2.45,3.52,1718,16.9,92,,,,,,3,G
610,2.3,1.89,E,228,2567,,34.3,9.19,G,0.6,0.5,0.94,0,0,0,0,2.53,2.53,4.06,1718,16.9,92,,,,,,3,G
611,3.66,-5.15,D,865,2339,,29.24,13,G,0.54,0.65,0.94,0,0,0,0,1.75,1.75,4.71,3435,11.4,147,,,,,,2,F
612,3.44,-5.53,D,865,2339,,23.26,13,G,0.54,0.65,0.94,0,0,0,0,1.75,1.75,4.31,3435,11.4,147,,,,,,2,F
613,3.4,-5.49,C,865,2339,,32.5,13.06,G,0.54,0.65,0.94,0,0,0,0,1.75,1.75,3.86,3435,11.4,147,,,,,,2,F
614,4.19,-4.49,C,865,2339,,29.21,13.05,G,0.54,0.64,0.94,0,0,0,0,1.75,1.75,3.42,3435,11.4,147,,,,,,2,F
615,3.8,-4.5,D,865,2339,,24.89,13.01,G,0.54,0.64,0.94,0,0,0,0,1.75,1.75,2.99,3435,11.4,147,,,,,,2,F
616,3.32,-4.31,E,865,2339,,26.18,12.94,G,0.54,0.64,0.94,0,0,0,0,1.76,1.76,2.57,3435,11.4,147,,,,,,2,F
617,4.37,-3.62,E,865,2339,,29.33,12.87,G,0.54,0.63,0.94,0,0,0,0,1.77,1.77,2.1,3435,11.4,147,,,,,,2,F
618,3.62,-2.96,E,865,2339,,22.48,12.74,G,0.55,0.63,0.94,0,0,0,0,1.79,1.79,1.72,3435,11.4,147,,,,,,2,F
619,4.04,-2.58,E,865,2339,,23.06,12.57,G,0.55,0.63,0.94,0,0,0,0,1.8,1.81,1.54,3435,11.4,147,,,,,,2,F
620,2.52,-2.49,E,865,2339,,25.18,12.48,G,0.55,0.62,0.94,0,0,0,0,1.81,1.83,1.44,3435,11.4,147,,,,,,2,F
621,2.9,-2.54,E,865,2339,,25.8,12.4,G,0.55,0.62,0.94,0,0,0,0,1.83,1.84,1.35,3435,11.4,147,,,,,,2,F
622,4.35,-2.84,E,865,2339,,24.85,12.31,G,0.55,0.61,0.94,0,0,0,0,1.84,1.85,1.32,3435,11.4,147,,,,,,2,F
623,6.58,-2.91,E,865,2339,,23.62,12.22,G,0.56,0.61,0.94,0,0,0,0,1.85,1.87,1.32,3435,11.4,147,,,,,,2,F
624,6.24,-3.43,E,865,2339,,26.06,12.12,G,0.56,0.6,0.94,0,0,0,0,1.87,1.88,1.32,3435,11.4,147,,,,,,2,F
625,6.2,-3.72,E,865,2339,,22.6,12.03,G,0.56,0.6,0.94,0,0,0,0,1.88,1.89,1.32,3435,11.4,147,,,,,,2,F
626,5.29,-4.05,E,865,2339,,22.71,11.94,G,0.56,0.59,0.94,0,0,0,0,1.89,1.91,1.32,3435,11.4,147,,,,,,2,F
627,7.22,-3.78,E,865,2339,,34.18,11.85,G,0.57,0.59,0.94,0,0,0,0,1.91,1.92,1.32,3435,11.4,147,,,,,,2,F
628,6.93,-3.18,E,865,2339,,29.47,11.76,G,0.57,0.58,0.94,0,0,0,0,1.92,1.94,1.32,3435,11.4,147,,,,,,2,F
629,6.69,-3.09,E,865,2339,,36.01,11.67,G,0.57,0.58,0.94,0,0,0,0,1.93,1.95,1.32,3435,11.4,147,,,,,,2,F
630,5.42,-2.99,E,865,2339,,37.38,11.58,G,0.57,0.57,0.94,0,0,0,0,1.95,1.97,1.32,3435,11.4,147,,,,,,2,F
631,5.77,-2.5,E,865,2339,,31.23,11.48,G,0.58,0.57,0.94,0,0,0,0,1.96,1.99,1.32,3435,11.4,147,,,,,,2,F
632,2.26,-1.91,E,865,2339,,36.04,11.39,G,0.58,0.56,0.94,0,0,0,0,1.98,2,1.32,3435,11.4,147,,,,,,2,F
633,3.07,-2.24,E,865,2339,,34.43,11.31,G,0.58,0.56,0.94,0,0,0,0,1.99,2.02,1.32,3435,11.4,147,,,,,,2,F
634,1.58,-2.08,E,865,2339,,30.42,11.23,G,0.58,0.55,0.94,0,0,0,0,2,2.03,1.32,3435,11.4,147,,,,,,2,F
635,2.43,-2.25,E,865,2339,,30.67,11.13,G,0.58,0.55,0.94,0,0,0,0,2.02,2.05,1.32,3435,11.4,147,,,,,,2,F
636,1.11,-2.71,E,865,2339,,27.39,11.04,G,0.59,0.54,0.94,0,0,0,0,2.04,2.06,1.32,3435,11.4,147,,,,,,2,F
637,2.71,-2.39,E,865,2339,,29.99,10.95,G,0.59,0.53,0.94,0,0,0,0,2.05,2.08,1.32,3435,11.4,147,,,,,,2,F
638,2.11,-3.13,E,865,2339,,24.99,10.86,G,0.59,0.53,0.94,0,0,0,0,2.07,2.1,1.35,3435,11.4,147,,,,,,2,F
639,2.29,-3.28,E,865,2339,,31.91,10.76,G,0.59,0.52,0.94,0,0,0,0,2.1,2.12,1.57,3435,11.4,147,,,,,,2,F
640,4.09,-3.67,E,865,2339,,38.91,10.57,G,0.6,0.52,0.94,0,0,0,0,2.14,2.16,1.9,3435,11.4,147,,,,,,2,F
641,3.09,-3.58,E,865,2339,,38.51,10.36,G,0.6,0.52,0.94,0,0,0,0,2.19,2.2,2.31,3435,11.4,147,,,,,,2,F
642,3.98,-3.69,E,865,2339,,42.22,10.11,G,0.6,0.51,0.94,0,0,0,0,2.24,2.26,2.76,3435,11.4,147,,,,,,2,F
643,2.6,-3.89,E,865,2339,,44.8,9.83,G,0.6,0.51,0.94,0,0,0,0,2.3,2.32,3.23,3435,11.4,147,,,,,,2,F
644,2.32,-4.64,E,865,2339,,45.08,9.52,G,0.6,0.51,0.94,0,0,0,0,2.38,2.39,3.77,3435,11.4,147,,,,,,2,F
645,2.14,-4.6,E,865,2339,,41.46,9.19,G,0.6,0.5,0.94,0,0,0,0,2.46,2.48,4.31,3435,11.4,147,,,,,,2,F
646,0.97,1.97,D,142,2481,,32.9,13,G,0.54,0.65,0.94,0,0,0,0,1.79,0.09,63.74,1718,1.5,10,,,,,,3,A
647,0.85,1.97,C,142,2481,,26.7,13.05,G,0.54,0.65,0.94,0,0,0,0,1.79,0.09,57.22,1718,1.5,10,,,,,,3,A
648,1.13,2.08,C,142,2481,,35.9,13.06,G,0.54,0.64,0.94,0,0,0,0,1.78,0.09,49.92,1718,1.5,10,,,,,,3,A
649,1.06,2.32,D,142,2481,,33.4,13.04,G,0.54,0.64,0.94,0,0,0,0,1.79,0.09,42.7,1718,1.5,10,,,,,,3,A
650,1.11,2.07,D,142,2481,,28.7,13,G,0.54,0.64,0.94,0,0,0,0,1.79,0.09,35.6,1718,1.5,10,,,,,,3,A
651,0.65,1.72,E,142,2481,,29.5,12.94,G,0.54,0.63,0.94,0,0,0,0,1.8,0.09,28.7,1718,1.5,10,,,,,,3,A
652,1.15,1.79,E,142,2481,,33.7,12.85,G,0.55,0.63,0.94,0,0,0,0,1.81,0.09,20.83,1718,1.5,10,,,,,,3,A
653,0.86,1.6,E,142,2481,,26.1,12.72,G,0.55,0.63,0.94,0,0,0,0,1.83,0.09,15.02,1718,1.5,10,,,,,,3,A
654,1.24,1.77,E,142,2481,,27.1,12.64,G,0.55,0.62,0.94,0,0,0,0,1.84,0.1,12.94,1718,1.5,10,,,,,,3,A
655,1.37,2.06,E,142,2481,,27.7,12.57,G,0.55,0.62,0.94,0,0,0,0,1.85,0.1,12.5,1718,1.5,10,,,,,,3,A
656,2,1.94,E,142,2481,,28.7,12.48,G,0.55,0.62,0.94,0,0,0,0,1.87,0.1,12.5,1718,1.5,10,,,,,,3,A
657,1.61,1.85,E,142,2481,,29.2,12.39,G,0.55,0.61,0.94,0,0,0,0,1.88,0.1,12.5,1718,1.5,10,,,,,,3,A
658,2,1.77,E,142,2481,,30.2,12.3,G,0.56,0.61,0.94,0,0,0,0,1.89,0.1,12.5,1718,1.5,10,,,,,,3,A
659,2.03,1.93,E,142,2481,,32.3,12.22,G,0.56,0.61,0.94,0,0,0,0,1.91,0.1,12.5,1718,1.5,10,,,,,,3,A
660,2.08,1.98,E,142,2481,,28.8,12.13,G,0.56,0.6,0.94,0,0,0,0,1.92,0.1,12.5,1718,1.5,10,,,,,,3,A
661,2.37,2,E,142,2481,,28,12.05,G,0.56,0.6,0.94,0,0,0,0,1.93,0.1,12.5,1718,1.5,10,,,,,,3,A
662,2.33,2.3,E,142,2481,,41.4,11.96,G,0.57,0.59,0.94,0,0,0,0,1.95,0.1,12.5,1718,1.5,10,,,,,,3,A
663,2.08,2.04,E,142,2481,,36.4,11.89,G,0.57,0.58,0.94,0,0,0,0,1.96,0.1,12.5,1718,1.5,10,,,,,,3,A
664,2.43,2.12,E,142,2481,,42.7,11.8,G,0.57,0.58,0.94,0,0,0,0,1.98,0.1,12.5,1718,1.5,10,,,,,,3,A
665,2.27,2.08,E,142,2481,,42.8,11.71,G,0.57,0.57,0.94,0,0,0,0,1.99,0.1,12.5,1718,1.5,10,,,,,,3,A
666,2.36,1.97,E,142,2481,,37,11.62,G,0.58,0.57,0.94,0,0,0,0,2.01,0.1,12.5,1718,1.5,10,,,,,,3,A
667,2.5,1.98,E,142,2481,,38.3,11.53,G,0.58,0.56,0.94,0,0,0,0,2.02,0.11,12.5,1718,1.5,10,,,,,,3,A
668,2.47,1.85,E,142,2481,,37.5,11.46,G,0.58,0.56,0.94,0,0,0,0,2.03,0.11,12.5,1718,1.5,10,,,,,,3,A
669,2.08,1.65,E,142,2481,,32,11.37,G,0.58,0.55,0.94,0,0,0,0,2.05,0.11,12.5,1718,1.5,10,,,,,,3,A
670,1.56,1.47,E,142,2481,,33.1,11.27,G,0.58,0.55,0.94,0,0,0,0,2.07,0.11,12.5,1718,1.5,10,,,,,,3,A
671,1.69,1.35,E,142,2481,,28.5,11.19,G,0.59,0.54,0.94,0,0,0,0,2.08,0.11,12.5,1718,1.5,10,,,,,,3,A
672,1.65,1.56,E,142,2481,,32.7,11.1,G,0.59,0.53,0.94,0,0,0,0,2.1,0.11,12.5,1718,1.5,10,,,,,,3,A
673,1.36,1.37,E,142,2481,,27.1,11.02,G,0.59,0.53,0.94,0,0,0,0,2.11,0.11,12.5,1718,1.5,10,,,,,,3,A
674,1.22,1.26,E,142,2481,,34.2,10.84,G,0.59,0.52,0.94,0,0,0,0,2.15,0.11,12.5,1718,1.5,10,,,,,,3,A
675,0.85,1.19,E,142,2481,,43,10.65,G,0.6,0.52,0.94,0,0,0,0,2.19,0.11,15.02,1718,1.5,10,,,,,,3,A
676,1.41,1.03,E,142,2481,,41.6,10.42,G,0.6,0.52,0.94,0,0,0,0,2.24,0.12,20.83,1718,1.5,10,,,,,,3,A
677,1.73,0.86,E,142,2481,,46.2,10.19,G,0.6,0.51,0.94,0,0,0,0,2.29,0.12,27.95,1718,1.5,10,,,,,,3,A
678,1.26,0.81,E,142,2481,,47.4,9.91,G,0.6,0.51,0.94,0,0,0,0,2.35,0.12,35.6,1718,1.5,10,,,,,,3,A
679,1.13,0.98,E,142,2481,,47.4,9.59,G,0.6,0.51,0.94,0,0,0,0,2.43,0.13,44.3,1718,1.5,10,,,,,,3,A
680,1.12,0.71,E,142,2481,,43.6,9.27,G,0.6,0.5,0.94,0,0,0,0,2.51,0.13,53.16,1718,1.5,10,,,,,,3,A
681,1.95,1.96,D,154,2493,,32.9,13,G,0.54,0.65,0.94,0,0,0,0,1.79,0.32,18.21,1718,3.1,18,,,,,,3,B
682,1.69,1.93,C,154,2493,,26.7,13.05,G,0.54,0.65,0.94,0,0,0,0,1.79,0.32,16.35,1718,3.1,18,,,,,,3,B
683,2.27,2.34,C,154,2493,,35.9,13.06,G,0.54,0.64,0.94,0,0,0,0,1.78,0.32,14.26,1718,3.1,18,,,,,,3,B
684,2.11,2.26,D,154,2493,,33.4,13.04,G,0.54,0.64,0.94,0,0,0,0,1.79,0.32,12.2,1718,3.1,18,,,,,,3,B
685,2.21,2.1,D,154,2493,,28.7,13,G,0.54,0.64,0.94,0,0,0,0,1.79,0.32,10.17,1718,3.1,18,,,,,,3,B
686,1.29,1.66,E,154,2493,,29.5,12.94,G,0.54,0.63,0.94,0,0,0,0,1.8,0.32,8.2,1718,3.1,18,,,,,,3,B
687,2.3,1.74,E,154,2493,,33.7,12.85,G,0.55,0.63,0.94,0,0,0,0,1.81,0.33,5.95,1718,3.1,18,,,,,,3,B
688,1.72,1.83,E,154,2493,,26.1,12.72,G,0.55,0.63,0.94,0,0,0,0,1.83,0.33,4.29,1718,3.1,18,,,,,,3,B
689,2.48,2.01,E,154,2493,,27.1,12.64,G,0.55,0.62,0.94,0,0,0,0,1.84,0.33,3.7,1718,3.1,18,,,,,,3,B
690,2.75,2.29,E,154,2493,,27.7,12.57,G,0.55,0.62,0.94,0,0,0,0,1.85,0.34,3.57,1718,3.1,18,,,,,,3,B
691,3.99,2.26,E,154,2493,,28.7,12.48,G,0.55,0.62,0.94,0,0,0,0,1.87,0.34,3.57,1718,3.1,18,,,,,,3,B
692,3.22,2.2,E,154,2493,,29.2,12.39,G,0.55,0.61,0.94,0,0,0,0,1.88,0.34,3.57,1718,3.1,18,,,,,,3,B
693,4.01,1.94,E,154,2493,,30.2,12.3,G,0.56,0.61,0.94,0,0,0,0,1.89,0.34,3.57,1718,3.1,18,,,,,,3,B
694,4.07,2.05,E,154,2493,,32.3,12.22,G,0.56,0.61,0.94,0,0,0,0,1.91,0.35,3.57,1718,3.1,18,,,,,,3,B
695,4.17,2.13,E,154,2493,,28.8,12.13,G,0.56,0.6,0.94,0,0,0,0,1.92,0.35,3.57,1718,3.1,18,,,,,,3,B
696,4.73,2.12,E,154,2493,,28,12.05,G,0.56,0.6,0.94,0,0,0,0,1.93,0.35,3.57,1718,3.1,18,,,,,,3,B
697,4.66,2.53,E,154,2493,,41.4,11.96,G,0.57,0.59,0.94,0,0,0,0,1.95,0.35,3.57,1718,3.1,18,,,,,,3,B
698,4.16,2.22,E,154,2493,,36.4,11.89,G,0.57,0.58,0.94,0,0,0,0,1.96,0.36,3.57,1718,3.1,18,,,,,,3,B
699,4.87,2.45,E,154,2493,,42.7,11.8,G,0.57,0.58,0.94,0,0,0,0,1.98,0.36,3.57,1718,3.1,18,,,,,,3,B
700,4.54,2.24,E,154,2493,,42.8,11.71,G,0.57,0.57,0.94,0,0,0,0,1.99,0.36,3.57,1718,3.1,18,,,,,,3,B
701,4.71,2.3,E,154,2493,,37,11.62,G,0.58,0.57,0.94,0,0,0,0,2.01,0.37,3.57,1718,3.1,18,,,,,,3,B
702,5,2.28,E,154,2493,,38.3,11.53,G,0.58,0.56,0.94,0,0,0,0,2.02,0.37,3.57,1718,3.1,18,,,,,,3,B
703,4.94,2.11,E,154,2493,,37.5,11.46,G,0.58,0.56,0.94,0,0,0,0,2.03,0.37,3.57,1718,3.1,18,,,,,,3,B
704,4.16,1.8,E,154,2493,,32,11.37,G,0.58,0.55,0.94,0,0,0,0,2.05,0.37,3.57,1718,3.1,18,,,,,,3,B
705,3.13,1.53,E,154,2493,,33.1,11.27,G,0.58,0.55,0.94,0,0,0,0,2.07,0.38,3.57,1718,3.1,18,,,,,,3,B
706,3.37,1.41,E,154,2493,,28.5,11.19,G,0.59,0.54,0.94,0,0,0,0,2.08,0.38,3.57,1718,3.1,18,,,,,,3,B
707,3.3,1.54,E,154,2493,,32.7,11.1,G,0.59,0.53,0.94,0,0,0,0,2.1,0.38,3.57,1718,3.1,18,,,,,,3,B
708,2.71,1.33,E,154,2493,,27.1,11.02,G,0.59,0.53,0.94,0,0,0,0,2.11,0.39,3.57,1718,3.1,18,,,,,,3,B
709,2.43,1.28,E,154,2493,,34.2,10.84,G,0.59,0.52,0.94,0,0,0,0,2.15,0.39,3.57,1718,3.1,18,,,,,,3,B
710,1.7,1.31,E,154,2493,,43,10.65,G,0.6,0.52,0.94,0,0,0,0,2.19,0.4,4.29,1718,3.1,18,,,,,,3,B
711,2.83,0.77,E,154,2493,,41.6,10.42,G,0.6,0.52,0.94,0,0,0,0,2.24,0.41,5.95,1718,3.1,18,,,,,,3,B
712,3.47,0.77,E,154,2493,,46.2,10.19,G,0.6,0.51,0.94,0,0,0,0,2.29,0.42,7.99,1718,3.1,18,,,,,,3,B
713,2.51,0.84,E,154,2493,,47.4,9.91,G,0.6,0.51,0.94,0,0,0,0,2.35,0.43,10.17,1718,3.1,18,,,,,,3,B
714,2.26,0.87,E,154,2493,,47.4,9.59,G,0.6,0.51,0.94,0,0,0,0,2.43,0.44,12.66,1718,3.1,18,,,,,,3,B
715,2.24,0.55,E,154,2493,,43.6,9.27,G,0.6,0.5,0.94,0,0,0,0,2.51,0.46,15.19,1718,3.1,18,,,,,,3,C
716,2.13,1.4,D,161,2500,,32.9,13,G,0.54,0.65,0.94,0,0,0,0,1.79,0.63,9.33,1718,6.5,25,,,,,,3,C
717,1.89,1.51,C,161,2500,,26.7,13.05,G,0.54,0.65,0.94,0,0,0,0,1.79,0.63,8.37,1718,6.5,25,,,,,,3,C
718,2.38,1.98,C,161,2500,,35.9,13.06,G,0.54,0.64,0.94,0,0,0,0,1.78,0.63,7.31,1718,6.5,25,,,,,,3,C
719,2.24,2.23,D,161,2500,,33.4,13.04,G,0.54,0.64,0.94,0,0,0,0,1.79,0.63,6.25,1718,6.5,25,,,,,,3,C
720,2.34,1.77,D,161,2500,,28.7,13,G,0.54,0.64,0.94,0,0,0,0,1.79,0.63,5.21,1718,6.5,25,,,,,,3,C
721,1.49,1.48,E,161,2500,,29.5,12.94,G,0.54,0.63,0.94,0,0,0,0,1.8,0.63,4.2,1718,6.5,25,,,,,,3,C
722,2.47,1.92,E,161,2500,,33.7,12.85,G,0.55,0.63,0.94,0,0,0,0,1.81,0.64,3.05,1718,6.5,25,,,,,,3,C
723,1.82,2.26,E,161,2500,,26.1,12.72,G,0.55,0.63,0.94,0,0,0,0,1.83,0.64,2.2,1718,6.5,25,,,,,,3,C
724,2.55,2.5,E,161,2500,,27.1,12.64,G,0.55,0.62,0.94,0,0,0,0,1.84,0.65,1.89,1718,6.5,25,,,,,,3,C
725,2.93,2.79,E,161,2500,,27.7,12.57,G,0.55,0.62,0.94,0,0,0,0,1.85,0.66,1.83,1718,6.5,25,,,,,,3,C
726,4.36,2.75,E,161,2500,,28.7,12.48,G,0.55,0.62,0.94,0,0,0,0,1.87,0.66,1.83,1718,6.5,25,,,,,,3,C
727,3.68,2.61,E,161,2500,,29.2,12.39,G,0.55,0.61,0.94,0,0,0,0,1.88,0.67,1.83,1718,6.5,25,,,,,,3,C
728,4.51,2.34,E,161,2500,,30.2,12.3,G,0.56,0.61,0.94,0,0,0,0,1.89,0.67,1.83,1718,6.5,25,,,,,,3,C
729,4.71,2.33,E,161,2500,,32.3,12.22,G,0.56,0.61,0.94,0,0,0,0,1.91,0.68,1.83,1718,6.5,25,,,,,,3,C
730,4.81,2.29,E,161,2500,,28.8,12.13,G,0.56,0.6,0.94,0,0,0,0,1.92,0.68,1.83,1718,6.5,25,,,,,,3,C
731,5.32,2.42,E,161,2500,,28,12.05,G,0.56,0.6,0.94,0,0,0,0,1.93,0.69,1.83,1718,6.5,25,,,,,,3,C
732,5.51,2.85,E,161,2500,,41.4,11.96,G,0.57,0.59,0.94,0,0,0,0,1.95,0.69,1.83,1718,6.5,25,,,,,,3,C
733,4.55,2.74,E,161,2500,,36.4,11.89,G,0.57,0.58,0.94,0,0,0,0,1.96,0.7,1.83,1718,6.5,25,,,,,,3,C
734,5.68,2.98,E,161,2500,,42.7,11.8,G,0.57,0.58,0.94,0,0,0,0,1.98,0.7,1.83,1718,6.5,25,,,,,,3,C
735,5.46,2.97,E,161,2500,,42.8,11.71,G,0.57,0.57,0.94,0,0,0,0,1.99,0.71,1.83,1718,6.5,25,,,,,,3,C
736,5.54,2.96,E,161,2500,,37,11.62,G,0.58,0.57,0.94,0,0,0,0,2.01,0.71,1.83,1718,6.5,25,,,,,,3,C
737,5.7,2.74,E,161,2500,,38.3,11.53,G,0.58,0.56,0.94,0,0,0,0,2.02,0.72,1.83,1718,6.5,25,,,,,,3,C
738,5.66,2.57,E,161,2500,,37.5,11.46,G,0.58,0.56,0.94,0,0,0,0,2.03,0.72,1.83,1718,6.5,25,,,,,,3,C
739,4.64,2.07,E,161,2500,,32,11.37,G,0.58,0.55,0.94,0,0,0,0,2.05,0.73,1.83,1718,6.5,25,,,,,,3,C
740,3.55,1.75,E,161,2500,,33.1,11.27,G,0.58,0.55,0.94,0,0,0,0,2.07,0.74,1.83,1718,6.5,25,,,,,,3,C
741,3.65,1.45,E,161,2500,,28.5,11.19,G,0.59,0.54,0.94,0,0,0,0,2.08,0.74,1.83,1718,6.5,25,,,,,,3,C
742,3.47,1.85,E,161,2500,,32.7,11.1,G,0.59,0.53,0.94,0,0,0,0,2.1,0.75,1.83,1718,6.5,25,,,,,,3,C
743,2.84,1.7,E,161,2500,,27.1,11.02,G,0.59,0.53,0.94,0,0,0,0,2.11,0.76,1.83,1718,6.5,25,,,,,,3,C
744,2.49,1.81,E,161,2500,,34.2,10.84,G,0.59,0.52,0.94,0,0,0,0,2.15,0.76,1.83,1718,6.5,25,,,,,,3,C
745,1.87,1.58,E,161,2500,,43,10.65,G,0.6,0.52,0.94,0,0,0,0,2.19,0.78,2.2,1718,6.5,25,,,,,,3,C
746,3.08,0.84,E,161,2500,,41.6,10.42,G,0.6,0.52,0.94,0,0,0,0,2.24,0.79,3.05,1718,6.5,25,,,,,,3,C
747,3.66,0.6,E,161,2500,,46.2,10.19,G,0.6,0.51,0.94,0,0,0,0,2.29,0.81,4.09,1718,6.5,25,,,,,,3,C
748,2.64,0.64,E,161,2500,,47.4,9.91,G,0.6,0.51,0.94,0,0,0,0,2.35,0.83,5.21,1718,6.5,25,,,,,,3,C
749,2.41,0.67,E,161,2500,,47.4,9.59,G,0.6,0.51,0.94,0,0,0,0,2.43,0.86,6.48,1718,6.5,25,,,,,,3,C
750,2.46,0.13,E,161,2500,,43.6,9.27,G,0.6,0.5,0.94,0,0,0,0,2.51,0.89,7.78,1718,6.5,25,,,,,,3,C
751,2.32,1.81,D,168,2507,,32.9,13,G,0.54,0.65,0.94,0,0,0,0,1.79,0.94,6.27,1718,8.4,32,,,,,,3,D
752,2.1,1.78,C,168,2507,,26.7,13.05,G,0.54,0.65,0.94,0,0,0,0,1.79,0.94,5.63,1718,8.4,32,,,,,,3,D
753,2.49,1.78,C,168,2507,,35.9,13.06,G,0.54,0.64,0.94,0,0,0,0,1.78,0.93,4.91,1718,8.4,32,,,,,,3,D
754,2.37,1.94,D,168,2507,,33.4,13.04,G,0.54,0.64,0.94,0,0,0,0,1.79,0.93,4.2,1718,8.4,32,,,,,,3,D
755,2.47,2.19,D,168,2507,,28.7,13,G,0.54,0.64,0.94,0,0,0,0,1.79,0.94,3.5,1718,8.4,32,,,,,,3,D
756,1.7,2.03,E,168,2507,,29.5,12.94,G,0.54,0.63,0.94,0,0,0,0,1.8,0.94,2.82,1718,8.4,32,,,,,,3,D
757,2.63,2.03,E,168,2507,,33.7,12.85,G,0.55,0.63,0.94,0,0,0,0,1.81,0.95,2.05,1718,8.4,32,,,,,,3,D
758,1.91,2.22,E,168,2507,,26.1,12.72,G,0.55,0.63,0.94,0,0,0,0,1.83,0.96,1.48,1718,8.4,32,,,,,,3,D
759,2.63,2.2,E,168,2507,,27.1,12.64,G,0.55,0.62,0.94,0,0,0,0,1.84,0.97,1.27,1718,8.4,32,,,,,,3,D
760,3.12,2.34,E,168,2507,,27.7,12.57,G,0.55,0.62,0.94,0,0,0,0,1.85,0.98,1.23,1718,8.4,32,,,,,,3,D
761,4.73,2.57,E,168,2507,,28.7,12.48,G,0.55,0.62,0.94,0,0,0,0,1.87,0.98,1.23,1718,8.4,32,,,,,,3,D
762,4.14,2.47,E,168,2507,,29.2,12.39,G,0.55,0.61,0.94,0,0,0,0,1.88,0.99,1.23,1718,8.4,32,,,,,,3,D
763,5,2.5,E,168,2507,,30.2,12.3,G,0.56,0.61,0.94,0,0,0,0,1.89,1,1.23,1718,8.4,32,,,,,,3,D
764,5.36,2.57,E,168,2507,,32.3,12.22,G,0.56,0.61,0.94,0,0,0,0,1.91,1.01,1.23,1718,8.4,32,,,,,,3,D
765,5.46,2.49,E,168,2507,,28.8,12.13,G,0.56,0.6,0.94,0,0,0,0,1.92,1.01,1.23,1718,8.4,32,,,,,,3,D
766,5.91,2.46,E,168,2507,,28,12.05,G,0.56,0.6,0.94,0,0,0,0,1.93,1.02,1.23,1718,8.4,32,,,,,,3,D
767,6.35,2.6,E,168,2507,,41.4,11.96,G,0.57,0.59,0.94,0,0,0,0,1.95,1.03,1.23,1718,8.4,32,,,,,,3,D
768,4.95,2.43,E,168,2507,,36.4,11.89,G,0.57,0.58,0.94,0,0,0,0,1.96,1.04,1.23,1718,8.4,32,,,,,,3,D
769,6.49,2.48,E,168,2507,,42.7,11.8,G,0.57,0.58,0.94,0,0,0,0,1.98,1.05,1.23,1718,8.4,32,,,,,,3,D
770,6.38,2.28,E,168,2507,,42.8,11.71,G,0.57,0.57,0.94,0,0,0,0,1.99,1.05,1.23,1718,8.4,32,,,,,,3,D
771,6.37,2.4,E,168,2507,,37,11.62,G,0.58,0.57,0.94,0,0,0,0,2.01,1.06,1.23,1718,8.4,32,,,,,,3,D
