A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
2.5,1.55,231,1393,11.5,12.85,0.5,0.6,2.77,20,6,8,24,1.52,0.2,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.65,231,1393,9.8,13.1,0.5,0.79,2.68,20,6,8,24,1.51,0.2,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9,1.48,231,1393,14.0,13.2,0.5,0.89,2.64,20,6,8,24,1.49,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.5,1.45,231,1393,11.5,13.35,0.5,0.98,2.59,20,6,8,24,1.48,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.4,1.52,231,1393,16.8,13.52,0.5,1.08,2.54,20,6,8,24,1.47,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6,1.4,231,1393,11.9,13.72,0.5,1.27,2.45,20,6,8,24,1.45,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.59,231,1393,10.1,13.96,0.5,1.36,2.41,20,6,8,24,1.44,0.19,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1,1.46,231,1393,16.5,14.2,0.5,1.46,2.36,20,6,8,24,1.42,0.18,15.78,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.8,1.25,231,1393,10.8,14.44,0.5,1.55,2.32,20,6,8,24,1.41,0.18,16.07,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.04,231,1393,11.2,14.92,0.5,1.74,2.23,20,6,8,24,1.4,0.18,16.47,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8,1.14,231,1393,15.5,15.13,0.5,1.84,2.18,20,6,8,24,1.38,0.18,17.83,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4,1.07,231,1393,14.7,15.38,0.5,1.93,2.14,20,6,8,24,1.35,0.18,19.98,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5,1.22,231,1393,25.6,15.73,0.5,2.03,2.09,20,6,8,24,1.33,0.17,22.23,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.19,249,1411,11.5,10.14,0.5,0.5,2.5,20,6,8,42,1.89,0.66,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.8,1.11,249,1411,2.7,10.19,0.5,0.5,2.54,20,6,8,42,1.88,0.66,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.5,1.35,249,1411,12.1,10.26,0.5,0.51,2.58,20,6,8,42,1.87,0.65,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.1,2.02,249,1411,9.7,10.34,0.5,0.51,2.62,20,6,8,42,1.86,0.65,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.7,2.31,249,1411,7.9,10.44,0.5,0.52,2.66,20,6,8,42,1.84,0.64,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
